machine_id,date,gpu,lmdb,pass,gpu_filter_type,consumer_threads,batch_size_in_bits,keys_per_work_item,candidates_per_second,checked_k_per_second,producer_blocked_delta,avg_contains_ms,notes
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_8,8,22,256,188603870,2939,5265,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_8,4,22,256,105661508,1658,3021,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_8,2,22,256,55050240,867,1575,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_8,1,22,256,31666995,495,906,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_16,8,22,256,227750707,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_16,4,22,256,228240043,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_16,2,22,256,228309948,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),A,FUSE_16,1,22,256,228344900,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_8,8,22,256,187170816,2915,5280,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_8,4,22,256,105521698,1652,3018,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_8,2,22,256,54176427,839,1550,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_8,1,22,256,31107755,482,890,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_16,8,22,256,228100233,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_16,4,22,256,228484710,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_16,2,22,256,228240043,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
ryzen75800h-63g-win11,2026-07-20,NVIDIA GeForce RTX 3070 Laptop GPU,5.5GB real LMDB (132 M entries),D,FUSE_16,1,22,256,228589568,14,0,0,"real Find run, LMDB_ONLY; candidate rate from batch counter; pass A and D are independent repeats"
