pc_id,date,backend,entries,ns_per_op,error_ns,jmh_iterations,source,notes
ryzen5800h-64g-win11,2026-07-18,BLOOM,100000,85.427,1.124,5,prng,after 8-byte longFunnel change
ryzen5800h-64g-win11,2026-07-18,BLOOM,1000000,98.921,4.896,5,prng,after 8-byte longFunnel change
ryzen5800h-64g-win11,2026-07-18,BLOOM,10000000,114.118,5.979,5,prng,after 8-byte longFunnel change
ryzen5800h-64g-win11,2026-07-18,BLOOM,50000000,203.163,58.346,4,prng,
ryzen5800h-64g-win11,2026-07-18,BLOOM,100000000,203.775,30.732,4,prng,
ryzen5800h-64g-win11,2026-07-18,HASHSET,100000,52.053,1.007,5,prng,
ryzen5800h-64g-win11,2026-07-18,HASHSET,1000000,92.944,31.434,5,prng,
ryzen5800h-64g-win11,2026-07-18,HASHSET,10000000,145.059,11.917,5,prng,omitted above 10M (~80 B/entry)
ryzen5800h-64g-win11,2026-07-18,TRUNCATED_LONG_64,100000,80.096,1.563,5,prng,
ryzen5800h-64g-win11,2026-07-18,TRUNCATED_LONG_64,1000000,145.378,1.494,5,prng,
ryzen5800h-64g-win11,2026-07-18,TRUNCATED_LONG_64,10000000,348.589,21.232,5,prng,
ryzen5800h-64g-win11,2026-07-18,TRUNCATED_LONG_64,50000000,533.340,48.222,4,prng,
ryzen5800h-64g-win11,2026-07-18,TRUNCATED_LONG_64,100000000,612.213,19.330,4,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_8,100000,13.087,0.080,5,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_8,1000000,18.478,0.236,5,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_8,10000000,22.400,0.449,5,prng,filter ~11.4 MB still fits 16 MB L3
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_8,50000000,52.057,1.788,4,prng,filter ~57 MB exceeds L3
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_8,100000000,59.554,3.876,4,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_16,100000,15.051,0.161,5,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_16,1000000,19.180,0.154,5,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_16,10000000,34.362,4.004,5,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_16,50000000,60.858,5.551,4,prng,
ryzen5800h-64g-win11,2026-07-18,BINARY_FUSE_16,100000000,63.515,4.474,4,prng,
ryzen5800h-64g-win11,2026-07-18,BLOCKED_BLOOM,100000,23.894,0.337,5,prng,
ryzen5800h-64g-win11,2026-07-18,BLOCKED_BLOOM,1000000,31.205,0.386,5,prng,
ryzen5800h-64g-win11,2026-07-18,BLOCKED_BLOOM,10000000,38.015,1.075,5,prng,already exceeds L3 at ~26 MB
ryzen5800h-64g-win11,2026-07-18,BLOCKED_BLOOM,50000000,40.498,9.297,4,prng,
ryzen5800h-64g-win11,2026-07-18,BLOCKED_BLOOM,100000000,45.505,1.284,4,prng,
