machine_id,date,entries,source,bits_per_entry_config,bits_per_entry_effective,k,fpr,lookups_per_sec,retained_mib,notes
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,1,0.059643,12744211,259.8,degenerates to a plain bitmap
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,2,0.013777,11772501,259.8,
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,4,0.003073,10725678,259.8,
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,6,0.001930,10619734,259.8,
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,8,0.001838,9848272,259.8,optimum at this density
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,11,0.002188,9519329,259.8,textbook (m/n)*ln2 prediction
ryzen75800h-63g-win11,2026-07-18,132288304,lmdb_light,11,16.24,16,0.003609,8488912,259.8,
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,4,0.006700,11456046,26.4,Full DB bit density
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,6,0.004634,11314483,26.4,Full DB bit density
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,7,0.004602,11090040,26.4,optimum at this density
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,8,0.004775,9298247,26.4,shipped default; 0.485% measured on the real Full DB
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,9,0.005107,8918001,26.4,textbook (m/n)*ln2 prediction
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,10,0.005601,9919287,26.4,
ryzen75800h-63g-win11,2026-07-18,10737418,prng,12,12.50,12,0.007161,9010998,26.4,
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,4,0.006700,25233823,26.4,FPR reproduces the reference machine bit-for-bit; only throughput differs
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,6,0.004634,22939989,26.4,
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,7,0.004602,21460724,26.4,optimum at this density
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,8,0.004775,21367772,26.4,shipped default
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,9,0.005107,22146825,26.4,textbook (m/n)*ln2 prediction
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,10,0.005601,21698493,26.4,
ryzen79800x3d8core-61g-win11,2026-07-18,10737418,prng,12,12.50,12,0.007161,20974232,26.4,
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,4,0.009984,24146920,22.4,fastrange sizing - density is now exactly as configured (214844 blocks x 512 / 10M = 11.0000)
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,5,0.008113,22648056,22.4,
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,6,0.007531,22535668,22.4,optimum - matches the k ~ 0.55 x bits/entry rule (0.55 x 11 = 6.05)
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,7,0.007589,22048602,22.4,
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,8,0.008019,20601757,22.4,shipped DEFAULT_K - costs ~6.5% relative FPR versus k=6 at this density
ryzen79800x3d8core-61g-win11,2026-07-19,10000000,prng,11,11.00,10,0.009930,20691403,22.4,
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,3,0.031548,11699943,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,4,0.025941,10455854,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,5,0.024410,11300227,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,6,0.025099,10615576,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,7,0.027345,10953910,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,8,0.031146,10876079,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,9,0.035805,8931307,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,10,0.042342,8803576,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,12,0.059899,10845105,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,8,8.00,14,0.084786,10549013,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,3,0.014366,11378506,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,4,0.009969,10808544,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,5,0.008049,10776907,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,6,0.007579,10630856,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,7,0.007645,8740426,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,8,0.008064,9783491,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,9,0.008870,9463307,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,10,0.009965,9707286,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,12,0.013329,8683548,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,11,11.00,14,0.018073,9075143,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,3,0.007885,9435769,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,4,0.004758,9857578,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,5,0.003592,9013621,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,6,0.003125,9241299,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,7,0.003060,8863724,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,8,0.003105,8673990,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,9,0.003184,9032551,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,10,0.003468,8209116,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,12,0.004307,8552352,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,14,14.00,14,0.005568,8139763,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,3,0.004797,9047285,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,4,0.002669,9441007,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,5,0.001927,8949915,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,6,0.001646,8550904,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,7,0.001535,8590379,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,8,0.001556,8517460,,fastrange density x k surface
ryzen75800h-63g-win11,2026-07-19,10000000,prng,17,17.00,9,0.001580,8738662,,fastrange density x k surface
