machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,16,27142398.34,422950.28,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,64,55123551.10,859371.87,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,256,27286901.03,425310.12,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,512,15479285.18,241671.73,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,1024,8231048.58,128644.43,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,18,2048,6369639.12,99343.82,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,16,31533253.12,492171.83,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,64,58745968.42,916616.57,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,256,54289551.71,846517.96,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,512,30984779.26,482938.40,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,1024,16644930.50,259298.00,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,19,2048,8597957.87,134243.90,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,20,16,32817893.45,511670.07,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,20,64,60076715.26,936207.85,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,20,256,87185483.61,1359327.90,20,5,10.69,,inline
coreultra7155h-95g-win11,NVIDIA RTX 500 Ada Generation Laptop GPU,2026-07-25,20,512,60500320.50,942618.62,20,5,10.69,,inline
