machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,18,1,5332210.38,83095.79,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,18,4,19893172.50,310442.49,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,18,16,35647047.34,555936.33,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,18,64,23447553.22,365596.29,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,18,256,8476729.85,132194.81,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,19,1,5239892.06,81684.52,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,19,4,20391067.56,317756.79,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,19,16,54063742.34,842946.83,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,19,64,45198609.08,704951.67,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,19,256,16878235.32,263364.21,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,20,1,5292340.17,82475.84,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,20,4,20288180.22,316623.85,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,20,16,61853894.04,964889.40,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,20,64,78317221.86,1221257.05,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,20,256,33113062.54,516527.07,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,21,1,5345782.25,83209.96,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,21,4,20227987.50,315349.04,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,21,16,66566663.58,1039669.69,20,5,6.60,,out-of-line
ryzen79800x3d8core-61g-win11,gfx1100,2026-07-26,21,64,122290553.86,1907012.82,20,5,6.60,,out-of-line
